-1.826,-1.033,-1.826,-1.033,-1.73673,-1.91558,-1.73778,-0.964701,-1.82608,-1.01615,-1.8201,-1.02684
-17.31,-15.95,-17.31,-15.95,-17.3981,-16.3609,-17.3949,-16.011,-17.3097,-15.9607,-17.3144,-15.9541
-6.406,-7.247,-6.448,-7.296,-6.48615,-8.01743,-6.52616,-7.34678,-6.40531,-7.25408,-6.45148,-7.2985
1.431,1.569,1.431,1.569,1.51348,1.93835,1.50834,1.63303,1.43266,1.58142,1.43545,1.57538
-17.91,-17.72,-18.61,-18.3,-17.9732,-17.7452,-18.6705,-18.3462,-17.9099,-17.7292,-18.6134,-18.3035
-1.456,-2.945,-1.456,-2.945,-1.38724,-3.5246,-1.38729,-3.51305,-1.48745,-2.92653,-1.60189,-2.92622
33.47,144.5,32.23,143.2,33.3767,144.148,32.1432,142.849,33.4254,144.489,31.9979,143.186
-33.02,-77.44,-32.32,-76.7,-33.1027,-77.9148,-32.3976,-77.1692,-33.0372,-77.4484,-32.1981,-76.711
6.026,11.9,5.881,11.75,6.11323,12.1415,5.95954,11.9907,6.0499,11.9159,5.88063,11.7698
-49.41,-142.8,-49.41,-142.8,-49.4783,-142.972,-49.4735,-142.974,-49.4354,-142.808,-49.581,-142.81
-15.35,-13.08,-15.35,-13.08,-14.9532,-12.8095,-15.0403,-12.849,-15.4038,-13.08,-15.3876,-13.08
13.86,12.48,16.16,15.17,13.7454,12.4022,16.0702,15.1032,13.8796,12.4799,16.1541,15.17
39.84,33.52,37.71,31.19,39.6743,33.4127,37.5804,31.0981,39.8503,33.5197,37.7249,31.1899
-9.205,-8.191,-8.801,-7.757,-9.11478,-8.12473,-8.72884,-7.69866,-9.21405,-8.19181,-8.80869,-7.75717
-253.1,-216.1,-253.1,-216.1,-253.156,-216.14,-253.144,-216.134,-253.094,-216.1,-253.089,-216.1
